sexo;titulo;nome;sobrenome;cidade;estado;pais;email;data_nascimento;load_date
female;Mrs;Siril;Rezai;Ringvol;Troms - Romsa;Norway;siril.rezai@example.com;1980-06-10;2024-04-03 21:57:17
male;Mr;Jacob;Bouwmeester;Pekela;Zuid-Holland;Netherlands;jacob.bouwmeester@example.com;1947-06-30;2024-04-03 21:57:17
male;Mr;Dillon;Kuijpers;Kommerzijl;Noord-Brabant;Netherlands;dillon.kuijpers@example.com;1947-10-11;2024-04-03 21:57:17
male;Mr;Nathanaël;Fabre;Dijon;Finistère;France;nathanael.fabre@example.com;1976-12-25;2024-04-03 21:57:17
female;Miss;Neea;Ojala;Kirkkonummi;Northern Ostrobothnia;Finland;neea.ojala@example.com;1963-07-25;2024-04-03 21:57:17
female;Miss;Catherine;Mitchelle;Aurora;Vermont;United States;catherine.mitchelle@example.com;1952-09-05;2024-04-03 22:26:40
female;Miss;Inés;Vicente;San Sebastián;Cantabria;Spain;ines.vicente@example.com;1992-01-23;2024-04-03 22:26:40
male;Mr;آریا;کوتی;ساوه;همدان;Iran;ary.khwty@example.com;1951-06-14;2024-04-03 22:26:40
female;Miss;Diane;Ortiz;Wells;County Fermanagh;United Kingdom;diane.ortiz@example.com;1993-07-31;2024-04-03 22:26:40
male;Mr;Jonas;Johansen;Nørrebro;Hovedstaden;Denmark;jonas.johansen@example.com;1949-08-26;2024-04-03 22:26:40
